"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on March 24, 2021","Jeri Blandford","yes","-","Nice but not very soft and seams falling apart","Not as soft as I expected.  Also started to come apart at the edges .",3,"-","-","https://www.amazon.com/gp/customer-reviews/R34U0XV5388O8Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07G9NPH8S","Color: Grey | Item Package Quantity: 8"
"Reviewed in the United States on July 20, 2020","Fiestyaries","yes","-","Very cool towel","Love then. Just as described.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R31Q85UEJN6N7G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07G9LQFJ8","Color: White | Item Package Quantity: 8"
"Reviewed in the United States on December 15, 2020","Denise Latina","yes","-","Rich looking","Softness, yet absorbency is great !",5,"-","-","https://www.amazon.com/gp/customer-reviews/RM0DD78YEITUY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07G9LQFJ8","Color: White | Item Package Quantity: 8"
"Reviewed in the United States on July 9, 2020","Amber B","yes","-","We like","Holds up to daily abuse. I need to purchase more",5,"-","-","https://www.amazon.com/gp/customer-reviews/R353YSDZFHIX72/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07G9LQFJ8","Color: White | Item Package Quantity: 8"
"Reviewed in the United States on July 20, 2019","Paige","yes","-","Great towel set!","Luv these towels, wanted towels that absorb really well, they are the perfect thickness not thin or cheap material, color doesnt fade after use, will definitely be buying more!",5,"-","-","https://www.amazon.com/gp/customer-reviews/RTOPZFWYWZEZB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07KCJT6DS","Color: Burgundy | Item Package Quantity: 8"
"Reviewed in the United States on May 5, 2020","Amazon Customer","yes","-","Disappointed","I was a bit disappointed with these towels. Two of them came with bad stitching on the ends of towels after initial wash they frayed. I don’t expect these to last long. I can’t wait for stores to open again so I can pick up some towels that aren’t bad quality.",2,"-","-","https://www.amazon.com/gp/customer-reviews/RADUG8U2YIQD4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07G9LQFJ8","Color: White | Item Package Quantity: 8"
"Reviewed in the United States on January 14, 2020","nancy","yes","-","speedy delivery","I was a little disappointed when I saw them in the shrink wrap. even tho a gift for my son, I washed them first, using a fabric softener. I did the correct  thing. They fluffed up nicely.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R26WWVJLM4SEII/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07KCLZTZ1","Color: Beige | Item Package Quantity: 8"
"Reviewed in the United States on September 23, 2020","Gregg Cherry","yes","-","Great Towels","Great",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3QQSYTEWJQOC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07KCLZTZ1","Color: Beige | Item Package Quantity: 8"
"Reviewed in the United States on September 26, 2020","Omar","yes","-","It's a tough galaxy","It's a tough galaxy. If you want to survive, you've gotta know where your towel is. A towel is the most important item a Hitchhiker can carry and I can't be any happier with these towels!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2J0Z82ZSQPH3C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07PJM141K","Color: Grey/White | Item Package Quantity: 8"
"Reviewed in the United States on August 10, 2020","David","yes","-","Good duy","They feel great.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RBMAD8PWDWILF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07KCLZTZ1","Color: Beige | Item Package Quantity: 8"
"Reviewed in the United States on July 28, 2021","Desiree W.","yes","-","Very soft, as described","Met our expectations and very comfortable if you like softer towels! :) I believe ours were the silver (light gray) and also matched the color in the images quite well. I would purchase again!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R27FY29RRFZHUA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B08L7JQVR1","Color: Silver Grey | Item Package Quantity: 8"
"Reviewed in the United States on March 10, 2020","Paula","yes","-","thoughtful gift","I like everything about these towels.  Good buy!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R11IORVKVQDGD6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07G9NPH8S","Color: Grey | Item Package Quantity: 8"
"Reviewed in the United States on June 13, 2020","rodney Horton","yes","-","Good looking towel set","Good towel set for the money.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2BP2YK1686GS1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07YN7LR6G","Color: Light Blue | Item Package Quantity: 8"
"Reviewed in the United States on July 27, 2020","Dot","yes","-","Good towels for a good price.","Purchased 2 sets, different colors.  My only concern was after laundering they took so long to dry on the delicate setting.  I did bump up the heat.",5,"https://images-na.ssl-images-amazon.com/images/I/81g53Jxa-gL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1E9OEPD2PMEQP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07G9LQFJ8","B07KCJT6DS","Color: Burgundy | Item Package Quantity: 8"
