"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on June 12, 2013","Morales Family","yes","-","Great price","Love these towels. Great quality and great color. Colors haven't faded, but I don't use them much. Just for guests. Great, elegant and soft.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1VEL0VYZ9JTPN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on January 14, 2013","W J B","yes","-","Okay towels","The towels were okay, but they were not a fluffy as expected.  After 5 washing, the towels finally stoped leaving residue in the dryer.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R13Y2OC1V0FL5V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SPFY","Size: 6-Piece Set | Color: Moss"
"Reviewed in the United States on September 1, 2015","Janet","yes","-","not very absorbent","Disappointing.  Although the towels feel soft and nice, they are not absorbent.  Feel damp, rather than dry with  use of these after a shower.  They look nice and feel nice, just don't get the job done",2,"-","-","https://www.amazon.com/gp/customer-reviews/R316264ZGTQGQS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SOTQ","Size: 6-Piece Set | Color: Plum"
"Reviewed in the United States on July 3, 2015","cyntsnel","yes","-","The description of the towels made it sound like they are really thick and plush","The description of the towels made it sound like they are really thick and plush.  They are just OK.  A little thin.  Not any better than what I could have found at a ""superstore"" type place.",3,"-","-","https://www.amazon.com/gp/customer-reviews/RZCB715L8WPE7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZKS","Size: 6-Piece Set | Color: Grey"
"Reviewed in the United States on June 28, 2016","JUANITA K GILLESPIE","yes","-","... these towels after reading the reviews but I am glad I did","I  was afraid to buy these towels after reading the reviews but I am glad I did. They did leave a lot of lint behind in the dryer lint trap but I have never saw new towels that didn't have lint. These towels are very soft.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RZNJFKAJ7JLVF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SO82","Size: 6-Piece Set | Color: Cranberry"
"Reviewed in the United States on January 13, 2016","Gabrielle I.","yes","-","Great towels! They're very soft and look nice","Great towels! They're very soft and look nice, but the only downfall is that they shed. I've washed them multiple times, but I still have lint coming off and sticking to my body after I shower. For the price, I will most definitely buy again!",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3F5RA07RMCKH4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZDU","Size: 6-Piece Set | Color: White"
"Reviewed in the United States on February 27, 2014","Krystal","yes","-","Price + Quality","The towels, like others have said, are a lot bigger than ""normal"" towels, which is nice. The color is true to the pictures and they're actually reallllllyyyy soft. I love the set, and the price was definitely worth the buy.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3JIWB4G5LH02A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZJ4","Size: 6-Piece Set | Color: Wedgewood"
"Reviewed in the United States on April 16, 2013","Tip-Top Beat Shop","yes","-","Feel and look GREAT","These towels are amazing for the price! They are super absorbant and actually larger than most of my other bath towels. I would highly recommend these to anyone looking for a great towel/wash cloth combo at an affordable price.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2ANS0R18V12FM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZJ4","Size: 6-Piece Set | Color: Wedgewood"
"Reviewed in the United States on January 9, 2014","Patsy Packer","yes","-","Plushy Towels","Nice weight towels with great drying capability.  The assortment of colors available and the pricing makes these a great bath and shower ""fill-in"".",4,"-","-","https://www.amazon.com/gp/customer-reviews/RD4YZS1ELXUC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B002S52ZFI","Size: 6-Piece Set | Color: Cream"
"Reviewed in the United States on April 17, 2013","BBCaprice","yes","-","Very nice Towels for the price!!","Good quality, after a few washes towels became more absorbant fluffed up more. No pulled strings. Bought these because the ratings and glad I did.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R330JLQG8OQ92H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI","B007K6SPFY","Size: 6-Piece Set | Color: Moss"
