"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on October 12, 2020","Angelic Petite","yes","-","Color is dull and looks almost gray. Not green","The colors look nothing like the photo. The real color is super dull and almost looks gray. We are returning them.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1HDNYA0V76W4V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNCVFQV","Color: Moss"
"Reviewed in the United States on July 11, 2020","Amber Smith","yes","-","I LOVE THESE TOWELS","I want more! They are the best towels I've ever had. Never even knew my other towels were garbage until I bought these. I WILL be back for more. I'm in love. It's like an absorbent blanket. I wash them in the wash and dryer every week too, they are in perfect condition. You'd have to really try to ruin these.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R33P9BBIVV521X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNF1TGK","Color: Pink"
"Reviewed in the United States on May 8, 2020","barbara f.","yes","-","These Towels Are Wonderful!!","When I Opened The Package The Towels Were Very Flat and I Was Disappointed.....I Washed and Dried Them....They Were Full and Soft.....and Beautiful....Love Them....",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3Q4EKRAXUCLRH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","-","-"
"Reviewed in the United States on July 26, 2021","Johnny","yes","-","Pretty decent towels","Really like the first set so I ordered another set.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1488Y0ZLWF8UX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07ZWH1SYM","Color: Wedgewood"
"Reviewed in the United States on March 31, 2021","Janet Cox","yes","-","Perfect towels","Nice and soft to the skin. Very pleased with the towels.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RVJ6SNDNWBO98/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QLGSTSK","Color: Aqua"
"Reviewed in the United States on June 21, 2020","Missy","yes","-","Not Great","Kinda bummed.  The reviews were so good, but these are pretty scratchy towels.  Color really faded after the first wash too.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R12FIRT7LOW7B9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNDBGYQ","Color: Cranberry"
"Reviewed in the United States on September 9, 2020","JVR756","yes","-","Poor quality and not absorbant","Horrible! These are the least absorbant bath towels I've ever owned. I could not be more disappointed.",2,"-","-","https://www.amazon.com/gp/customer-reviews/RSQVAV6MJXNA6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNCVFQV","Color: Moss"
"Reviewed in the United States on May 4, 2021","Alejandra ","yes","-","Hate how the white fuzz on my white towel falls and stays in my hair","When I dry myself the towel drops white fuzz and stays in my hair. So annoying",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1N1XB9PXN7SZA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on February 15, 2021","Norma Hill","yes","-","Soft and long. Nice towels","Bought for a friend for Christmas. He loved them. Nice and long!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1O2085BKSMF78/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07YW41GDJ","Color: Gray"
"Reviewed in the United States on March 11, 2020","Pinklaw","yes","-","Absorbent, losing too much cotton after a wash","The towels are nice first couple of washes, is very absorbent, but my lint trap is full of cotton after each wash and fear these will not last.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1OJN11W6KYZW4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on August 17, 2021","Costumer 007","yes","-","Not as advertised","Sent back.Poor quality, not fluffy.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R2K7WSBS1HTWMW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B089P2JL4S","Color: Navy Blue"
"Reviewed in the United States on August 10, 2015","Calliope's Mom","yes","-","Nice towel for the price","These towels washed up nicely and did shed a lot of fluff which I expected.  After running them through the dryer a few times they were fit for the linen closet.  I understand they are only about ten dollars a towel but I would have hoped for a bit more quality in the craftsmanship.  There were multiple strands and things hanging off the sides of the towels that I had to snip off with scissors.  Otherwise, I am quite pleased with them.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2036YWZIDW99N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on June 27, 2020","Amazon Customer","yes","-","Good towel, but color was wrong","They are fine towels, but I was disappointed with the color. I was expecting more of a deep red like the picture, but the color I got was more like a brownish red, like rust.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R3SNOHSYDR4JWX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNDBGYQ","Color: Cranberry"
"Reviewed in the United States on August 10, 2020","REELDOC","yes","-","Soft and absorbent","Wished I could give 4.5 stars. They are absorbent but could have been softer. Overall however good value.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2A8I6SQPSVB4Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on November 10, 2019","C. B.","yes","-","👍🏼👍🏼","Perfect after the first wash. Great value for the money. Had them now for a few weeks. 👌🏼UPDATE: still great ... many washes and holding shape, color and softness well.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RHX8N6HR3L1QV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on November 25, 2020","arthur p cooper","yes","-","Disappointed","Feel great and look great but even after several washings they do not have the absorbency expected.Not the thickness we expected.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R2T704I3BTFF7U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QLGSTSK","Color: Aqua"
"Reviewed in the United States on October 1, 2018","Donnabb523","yes","-","Towels","newly married and moved into our new home, we needed to replace all our wore out towels.  I ordered from Amazon and I am very pleased.  We ordered set of 4 brown, 6 hand towels and a set of multi color.  Washed 1st and put in linen closet, so far so good.  no problems.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RPQJUC8B9HBBH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00ZB7P5K2","Color: Mix"
"Reviewed in the United States on February 22, 2021","Johnny R Harkey","yes","-","Not the best","Others I have bought are better quality for similar price.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3L2T3JP35ON5O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07YW41GDJ","Color: Gray"
"Reviewed in the United States on June 15, 2021","Philip H.","yes","-","I liked them so much I bought some for my mom","Soft thick absorbent cottonyour not pushing around water with these, they absorb the water quickly",5,"-","-","https://www.amazon.com/gp/customer-reviews/R37HCXKATKGIST/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on July 20, 2021","lula","yes","-","High Quality","Thick, soft towels; very high quality- will buy again",5,"-","-","https://www.amazon.com/gp/customer-reviews/RHUCRILPUV5I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07YW41GDJ","Color: Gray"
"Reviewed in the United States on April 16, 2021","Ziprdown","yes","-","soft","soft,  not full of dryer lint after one wash",5,"-","-","https://www.amazon.com/gp/customer-reviews/RAGCXMF6P25CH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B08XR2KDG9","Color: Black"
"Reviewed in the United States on February 24, 2021","Amazon Customer","yes","-","Great Quality","I was hesitant to purchase towels on line without being able to feel them first. Based on reviews, I took a chance on these. I am very happy with my purchase. As soon as they arrived, I washed the towels, as I do with all new towels. They bounced to life and have been really wonderful to use. I highly recommend.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1Y6SHYZZAIVUI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07YW41GDJ","Color: Gray"
"Reviewed in the United States on May 10, 2021","Jenn Pilt","yes","-","Would purchase again.","Very nice towels. Great absorbancy and soft. I would purchase again.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2MMQ7U1LE4IVI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on March 4, 2021","Ellen","yes","-","Nice","Nice towels, not as large as others and not as thick.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R314DVL85SOENW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B07QNCVFQV","Color: Moss"
